dataset_id,link,tags,description
PJMixers-Dev/2xrightkto,https://huggingface.co/datasets/PJMixers-Dev/2xrightkto,"['size_categories:10K<n<100K', 'format:json', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'region:us']",
PJMixers-Dev/2xleftkto,https://huggingface.co/datasets/PJMixers-Dev/2xleftkto,"['size_categories:10K<n<100K', 'format:json', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'region:us']",
PJMixers-Dev/bespokelabs_Bespoke-Stratos-35k-CustomShareGPT,https://huggingface.co/datasets/PJMixers-Dev/bespokelabs_Bespoke-Stratos-35k-CustomShareGPT,"['size_categories:10K<n<100K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
PJMixers-Dev/wp-conversational,https://huggingface.co/datasets/PJMixers-Dev/wp-conversational,"['size_categories:1K<n<10K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
PJMixers-Dev/Gutenberg123Moderne-KTOShareGPT,https://huggingface.co/datasets/PJMixers-Dev/Gutenberg123Moderne-KTOShareGPT,"['size_categories:10K<n<100K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
PJMixers-Dev/m-a-p_CodeFeedback-Filtered-Instruction-gemini-2.0-flash-thinking-exp-01-21-CustomShareGPT,https://huggingface.co/datasets/PJMixers-Dev/m-a-p_CodeFeedback-Filtered-Instruction-gemini-2.0-flash-thinking-exp-01-21-CustomShareGPT,"['size_categories:1K<n<10K', 'format:json', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
PJMixers-Dev/ThinkyThinky-ShareGPT,https://huggingface.co/datasets/PJMixers-Dev/ThinkyThinky-ShareGPT,"['language:en', 'size_categories:100K<n<1M', 'format:parquet', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']","dataset_list = [
    ""PJMixers-Dev/Weyaxi_HelpSteer-filtered-gemini-2.0-flash-thinking-exp-1219-CustomShareGPT"",
    ""PJMixers-Dev/lmsys_lmsys-chat-1m-gemini-2.0-flash-thinking-exp-1219-CustomShareGPT"",
    ""PJMixers-Dev/allenai_WildChat-1M-gemini-2.0-flash-thinking-exp-1219-CustomShareGPT"",
    ""PJMixers-Dev/WizardLMTeam_WizardLM_evol_instruct_70k-gemini-2.0-flash-thinking-exp-1219-CustomShareGPT""… See the full description on the dataset page: https://huggingface.co/datasets/PJMixers-Dev/ThinkyThinky-ShareGPT."
PJMixers-Dev/open-thoughts_OpenThoughts-114k-CustomShareGPT,https://huggingface.co/datasets/PJMixers-Dev/open-thoughts_OpenThoughts-114k-CustomShareGPT,"['size_categories:100K<n<1M', 'format:parquet', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']",
PJMixers-Dev/cognitivecomputations_dolphin-r1-reasoning-deepseek,https://huggingface.co/datasets/PJMixers-Dev/cognitivecomputations_dolphin-r1-reasoning-deepseek,"['size_categories:100K<n<1M', 'format:json', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
PJMixers-Dev/cognitivecomputations_dolphin-r1-reasoning-flash,https://huggingface.co/datasets/PJMixers-Dev/cognitivecomputations_dolphin-r1-reasoning-flash,['region:us'],
PJMixers-Dev/cognitivecomputations_dolphin-r1-reasoning-flash-CustomShareGPT,https://huggingface.co/datasets/PJMixers-Dev/cognitivecomputations_dolphin-r1-reasoning-flash-CustomShareGPT,"['size_categories:100K<n<1M', 'format:parquet', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']",
PJMixers-Dev/cognitivecomputations_dolphin-r1-reasoning-deepseek-CustomShareGPT,https://huggingface.co/datasets/PJMixers-Dev/cognitivecomputations_dolphin-r1-reasoning-deepseek-CustomShareGPT,"['size_categories:100K<n<1M', 'format:parquet', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']",
PJMixers-Dev/ThinkyThinky-Gemini-ShareGPT,https://huggingface.co/datasets/PJMixers-Dev/ThinkyThinky-Gemini-ShareGPT,"['language:en', 'size_categories:100K<n<1M', 'format:parquet', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']","dataset_list = [
    ""PJMixers-Dev/Weyaxi_HelpSteer-filtered-gemini-2.0-flash-thinking-exp-1219-CustomShareGPT"",
    ""PJMixers-Dev/lmsys_lmsys-chat-1m-gemini-2.0-flash-thinking-exp-1219-CustomShareGPT"",
    ""PJMixers-Dev/allenai_WildChat-1M-gemini-2.0-flash-thinking-exp-1219-CustomShareGPT"",
    ""PJMixers-Dev/WizardLMTeam_WizardLM_evol_instruct_70k-gemini-2.0-flash-thinking-exp-1219-CustomShareGPT""… See the full description on the dataset page: https://huggingface.co/datasets/PJMixers-Dev/ThinkyThinky-Gemini-ShareGPT."
PJMixers-Dev/testthing,https://huggingface.co/datasets/PJMixers-Dev/testthing,"['size_categories:n<1K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
PJMixers-Dev/testjustignore,https://huggingface.co/datasets/PJMixers-Dev/testjustignore,"['size_categories:n<1K', 'format:json', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
PJMixers-Dev/GTB3-Thing,https://huggingface.co/datasets/PJMixers-Dev/GTB3-Thing,"['size_categories:1K<n<10K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
PJMixers-Dev/Other-Thinky-ShareGPT,https://huggingface.co/datasets/PJMixers-Dev/Other-Thinky-ShareGPT,"['size_categories:100K<n<1M', 'format:parquet', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']",
PJMixers-Dev/test3,https://huggingface.co/datasets/PJMixers-Dev/test3,"['size_categories:10K<n<100K', 'format:parquet', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']","Score was calculated with the <think></think> stuff removed entirely, so the score depends on the final answer only.
input_data[""score""] = rm(tokenized_conversation).logits[0][0].item() model loaded in 4bit.
"
PJMixers-Dev/test3-filtered,https://huggingface.co/datasets/PJMixers-Dev/test3-filtered,"['size_categories:10K<n<100K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']","if sample[""score""] <= 10:
    continue

"
PJMixers-Dev/testjustignore2,https://huggingface.co/datasets/PJMixers-Dev/testjustignore2,['region:us'],
PJMixers-Dev/Lit-axo-Shuffled,https://huggingface.co/datasets/PJMixers-Dev/Lit-axo-Shuffled,"['size_categories:100K<n<1M', 'format:parquet', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']",
PJMixers-Dev/fundusnewsonly,https://huggingface.co/datasets/PJMixers-Dev/fundusnewsonly,"['size_categories:1K<n<10K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
flytech/python-codes-25k,https://huggingface.co/datasets/flytech/python-codes-25k,"['task_categories:text-classification', 'task_categories:question-answering', 'task_categories:token-classification', 'task_categories:summarization', 'task_categories:text-generation', 'size_categories:10K<n<100K', 'format:json', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'region:us', 'code', 'python', 'flytech', 'cleaned', 'instructional', 'dataset 25k', 'text2code', 'code2text', 'behavioral', 'codegeneration', 'trending', 'programming']","
	
		
		License
	

MIT



	
		
		This is a Cleaned Python Dataset Covering 25,000 Instructional Tasks
	


	
		
		Overview
	

The dataset has 4 key features (fields): instruction, input, output, and text.It's a rich source for Python codes, tasks, and extends into behavioral aspects.



	
		
	
	
		Dataset Statistics
	


Total Entries: 24,813
Unique Instructions: 24,580
Unique Inputs: 3,666
Unique Outputs: 24,581
Unique Texts: 24,813
Average Tokens per example: 508


	
		
		Features… See the full description on the dataset page: https://huggingface.co/datasets/flytech/python-codes-25k."
future-architect/Llama-3.3-Future-Code-Instructions,https://huggingface.co/datasets/future-architect/Llama-3.3-Future-Code-Instructions,"['language:en', 'language:ja', 'license:llama3.3', 'size_categories:1M<n<10M', 'format:parquet', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'arxiv:2406.08464', 'region:us', 'llama-3', 'code']","
	
		
		Llama 3.3 Future Code Instructions
	

Llama 3.3 Future Code Instructions is a large-scale instruction dataset synthesized with the Meta Llama 3.3 70B Instruct model.
The dataset was generated with the method called Magpie, where we prompted the model to generate instructions likely to be asked by the users.
In addition to the original prompt introduced by the authors, we conditioned the system prompt on what specific programming language the user has an interest in, gaining control… See the full description on the dataset page: https://huggingface.co/datasets/future-architect/Llama-3.3-Future-Code-Instructions."
future-architect/Llama-3.3-Future-Code-Instructions-MT,https://huggingface.co/datasets/future-architect/Llama-3.3-Future-Code-Instructions-MT,"['language:en', 'license:llama3.3', 'size_categories:100K<n<1M', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us', 'llama-3', 'code']","
	
		
		Llama 3.3 Future Code Instructions MT
	

Llama 3.3 Future Code Instructions MT is a multi-turn variant of the Llama 3.3 Future Code Instructions dataset.
In order to replicate multi-turn conversations between a user and an assistant, we prompted the Meta Llama 3.3 70B Instruct model to generate follow-up questions to the generated single-turn pairs of instructions and responses.
Similarly to the single-turn variant, we selected a response scored best with the ArmoRM reward model from 4… See the full description on the dataset page: https://huggingface.co/datasets/future-architect/Llama-3.3-Future-Code-Instructions-MT."
codelion/worker-safety-qa-eval,https://huggingface.co/datasets/codelion/worker-safety-qa-eval,"['task_categories:question-answering', 'language:en', 'license:apache-2.0', 'size_categories:n<1K', 'format:json', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'doi:10.57967/hf/2591', 'region:us']","
	
		
		Dataset Card for Worker Safety Question and Answer Eval
	

This dataset contains the worker-safety-qa-eval benchmark. This benchmark is used to evaluate question answering tasks in the domain of worker safety and health.
The focus of the benchmark is to answer queries about worker safety practices and regulations based on laws in Singapore. 
For correct answers we refer to the resources from Workplace Safety and Health Council.

	
		
	
	
		Dataset Details
	


	
		
	
	
		Dataset… See the full description on the dataset page: https://huggingface.co/datasets/codelion/worker-safety-qa-eval."
codelion/optillm-router-dataset,https://huggingface.co/datasets/codelion/optillm-router-dataset,"['task_categories:text-classification', 'language:en', 'license:apache-2.0', 'size_categories:1K<n<10K', 'format:json', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us', 'reasoning-datasets-competition']","This dataset was used to train the optillm-modernbert-large-bert 
and optillm-bert-uncased router classifier model. 
It was built by combining all instances of Arena Hard Auto 
and MixEval datasets and running them through 
the optillm proxy with gpt-4o-mini. We generated responses using optillm for all
the approaches and then evaluated them using LLM-as-Judge for Arena Hard Auto and ground truth for MixEval. These responses were
ranked and saved along with the number of tokens required for… See the full description on the dataset page: https://huggingface.co/datasets/codelion/optillm-router-dataset."
codelion/Sky-T1_data_17k,https://huggingface.co/datasets/codelion/Sky-T1_data_17k,"['license:apache-2.0', 'size_categories:10K<n<100K', 'format:json', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
codelion/optillmbench,https://huggingface.co/datasets/codelion/optillmbench,"['task_categories:text-generation', 'license:apache-2.0', 'size_categories:n<1K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us', 'optillm', 'benchmark']","
	
		
		OptiLLMBench Dataset
	

A benchmark dataset for evaluating test-time optimization and scaling capabilities of language models.

	
		
		Dataset Description
	

OptiLLMBench contains 500 carefully selected challenging problems across multiple domains:

Mathematical reasoning (from competition_math)
Code generation (from HumanEval)
Word problems (from GSM8K)
Multiple choice reasoning (from MMLU)
Logical deduction (from BBH)

Each example is chosen to benefit from test-time optimization… See the full description on the dataset page: https://huggingface.co/datasets/codelion/optillmbench."
codelion/math500-cot-experiment,https://huggingface.co/datasets/codelion/math500-cot-experiment,"['task_categories:text-generation', 'license:apache-2.0', 'size_categories:1K<n<10K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us', 'reasoning-datasets-competition']","
	
		
		MATH-500 Chain of Thought Experiment Dataset
	

This dataset contains the results of an experiment testing different prompting strategies (standard, chain of thought, and gibberish chain of thought) on the MATH-500 benchmark using the Llama-3.2-1B-Instruct model.

	
		
		Dataset Structure
	

The dataset is split into three parts:

standard: Direct prompting with no reasoning steps (500 examples)
cot: Chain of thought prompting with structured reasoning (500 examples)
gibberish:… See the full description on the dataset page: https://huggingface.co/datasets/codelion/math500-cot-experiment."
codelion/Qwen3-0.6B-pts-steering-vectors,https://huggingface.co/datasets/codelion/Qwen3-0.6B-pts-steering-vectors,"['language:en', 'license:apache-2.0', 'size_categories:1K<n<10K', 'format:json', 'modality:tabular', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'region:us', 'pts', 'reasoning-datasets-competition', 'steering-vectors']","
	
		
		PTS Steering Vectors Dataset
	

A dataset of activation-based steering vectors created using the Pivotal Token Search (PTS) technique.

	
		
		Details
	


Source: Generated using the PTS tool
Model: Qwen/Qwen3-0.6B


	
		
		Dataset Structure
	

This dataset contains:

steering_vectors.jsonl: The main file with token-level steering vectors


	
		
		Usage
	

These steering vectors can be used for activation-based steering during inference to guide language models toward particular… See the full description on the dataset page: https://huggingface.co/datasets/codelion/Qwen3-0.6B-pts-steering-vectors."
codelion/Qwen3-0.6B-pts,https://huggingface.co/datasets/codelion/Qwen3-0.6B-pts,"['language:en', 'license:apache-2.0', 'size_categories:1K<n<10K', 'format:json', 'modality:tabular', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'region:us', 'pts', 'reasoning-datasets-competition']","
	
		
		PTS Pivotal Tokens Dataset
	

A dataset of pivotal tokens discovered using the Pivotal Token Search (PTS) technique.

	
		
		Details
	


Source: Generated using the PTS tool
Model: Qwen/Qwen3-0.6B


	
		
		Format
	

Each token in the dataset includes:

query: The original query that was processed
pivot_context: The context leading up to the pivotal token
pivot_token: The actual token that impacts success probability
prob_delta: The change in success probability caused by the token… See the full description on the dataset page: https://huggingface.co/datasets/codelion/Qwen3-0.6B-pts."
codelion/Qwen3-0.6B-pts-dpo-pairs,https://huggingface.co/datasets/codelion/Qwen3-0.6B-pts-dpo-pairs,"['language:en', 'license:apache-2.0', 'size_categories:n<1K', 'format:json', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'region:us', 'dpo', 'pts', 'reasoning-datasets-competition']","
	
		
		PTS DPO Dataset
	

A Direct Preference Optimization (DPO) dataset created using the Pivotal Token Search (PTS) technique.

	
		
		Details
	


Source: Generated using the PTS tool
Model: Qwen/Qwen3-0.6B


	
		
		Format
	

Each example in the dataset consists of:

prompt: The context leading up to the pivotal token
chosen: The preferred token that increases success probability
rejected: The alternative token that decreases success probability
metadata: Additional information about the… See the full description on the dataset page: https://huggingface.co/datasets/codelion/Qwen3-0.6B-pts-dpo-pairs."
codelion/DeepSeek-R1-Distill-Qwen-1.5B-pts,https://huggingface.co/datasets/codelion/DeepSeek-R1-Distill-Qwen-1.5B-pts,"['language:en', 'license:apache-2.0', 'size_categories:1K<n<10K', 'region:us', 'pts', 'reasoning-datasets-competition']","
	
		
		PTS Pivotal Tokens Dataset
	

A dataset of pivotal tokens discovered using the Pivotal Token Search (PTS) technique.

	
		
		Details
	


Source: Generated using the PTS tool
Model: deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B


	
		
		Format
	

Each token in the dataset includes:

query: The original query that was processed
pivot_context: The context leading up to the pivotal token
pivot_token: The actual token that impacts success probability
prob_delta: The change in success… See the full description on the dataset page: https://huggingface.co/datasets/codelion/DeepSeek-R1-Distill-Qwen-1.5B-pts."
codelion/DeepSeek-R1-Distill-Qwen-1.5B-pts-steering-vectors,https://huggingface.co/datasets/codelion/DeepSeek-R1-Distill-Qwen-1.5B-pts-steering-vectors,"['language:en', 'license:apache-2.0', 'size_categories:1K<n<10K', 'region:us', 'pts', 'steering-vectors', 'reasoning-datasets-competition']","
	
		
		PTS Steering Vectors Dataset
	

A dataset of activation-based steering vectors created using the Pivotal Token Search (PTS) technique.

	
		
		Details
	


Source: Generated using the PTS tool
Model: deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B


	
		
		Dataset Structure
	

This dataset contains:

steering_vectors.jsonl: The main file with token-level steering vectors


	
		
		Usage
	

These steering vectors can be used for activation-based steering during inference to guide language… See the full description on the dataset page: https://huggingface.co/datasets/codelion/DeepSeek-R1-Distill-Qwen-1.5B-pts-steering-vectors."
codelion/DeepSeek-R1-Distill-Qwen-1.5B-pts-dpo-pairs,https://huggingface.co/datasets/codelion/DeepSeek-R1-Distill-Qwen-1.5B-pts-dpo-pairs,"['language:en', 'license:apache-2.0', 'size_categories:1K<n<10K', 'region:us', 'dpo', 'pts', 'reasoning-datasets-competition']","
	
		
		PTS DPO Dataset
	

A Direct Preference Optimization (DPO) dataset created using the Pivotal Token Search (PTS) technique.

	
		
		Details
	


Source: Generated using the PTS tool
Model: deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B


	
		
		Format
	

Each example in the dataset consists of:

prompt: The context leading up to the pivotal token
chosen: The preferred token that increases success probability
rejected: The alternative token that decreases success probability
metadata:… See the full description on the dataset page: https://huggingface.co/datasets/codelion/DeepSeek-R1-Distill-Qwen-1.5B-pts-dpo-pairs."
codelion/Qwen3-0.6B-icm,https://huggingface.co/datasets/codelion/Qwen3-0.6B-icm,"['license:apache-2.0', 'size_categories:n<1K', 'format:json', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us', 'icm']",
codelion/sutra-10M,https://huggingface.co/datasets/codelion/sutra-10M,"['task_categories:text-generation', 'language:en', 'license:apache-2.0', 'size_categories:1K<n<10K', 'format:json', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:polars', 'library:mlcroissant', 'region:us', 'pretraining', 'educational', 'pedagogical', 'synthetic', 'sutra', 'multi-domain']","
	
		
		Sutra 10M Pretraining Dataset
	

A high-quality synthetic pedagogical dataset designed for LLM pretraining, containing 7,252 educational entries totaling approximately 10 million tokens.

	
		
		Dataset Description
	

This dataset was generated using the Sutra framework, which creates structured educational content optimized for language model pretraining. Each entry is designed to maximize learning efficiency through:

Clear pedagogical structure: Content follows proven educational… See the full description on the dataset page: https://huggingface.co/datasets/codelion/sutra-10M."
codelion/dclm-baseline-10M,https://huggingface.co/datasets/codelion/dclm-baseline-10M,"['size_categories:1K<n<10K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']","
	
		
		Sampling Methodology
	

This dataset was created using reservoir sampling, a statistically unbiased random sampling algorithm that guarantees each sample from the source dataset has an equal probability of being included. This ensures the 10M token sample is representative of the full dataset's characteristics.
Source Dataset: mlfoundations/dclm-baseline-1.0
Sample Size: 10M tokens
Content: Filtered, diverse web content
Reservoir sampling enables rapid experimentation and ablation… See the full description on the dataset page: https://huggingface.co/datasets/codelion/dclm-baseline-10M."
codelion/fineweb-edu-10M,https://huggingface.co/datasets/codelion/fineweb-edu-10M,"['size_categories:1K<n<10K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']","
	
		
		Sampling Methodology
	

This dataset was created using reservoir sampling, a statistically unbiased random sampling algorithm that guarantees each sample from the source dataset has an equal probability of being included. This ensures the 10M token sample is representative of the full dataset's characteristics.
Source Dataset: HuggingFaceFW/fineweb-edu
Sample Size: 10M tokens
Content: Curated educational web resources
Reservoir sampling enables rapid experimentation and ablation… See the full description on the dataset page: https://huggingface.co/datasets/codelion/fineweb-edu-10M."
codelion/dclm-baseline-100M,https://huggingface.co/datasets/codelion/dclm-baseline-100M,"['size_categories:10K<n<100K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']","
	
		
		Sampling Methodology
	

This dataset was created using reservoir sampling, a statistically unbiased random sampling algorithm that guarantees each sample from the source dataset has an equal probability of being included. This ensures the 100M token sample is representative of the full dataset's characteristics.
Source Dataset: mlfoundations/dclm-baseline-1.0
Sample Size: 100M tokens
Content: Filtered, diverse web content
Reservoir sampling enables rapid experimentation and ablation… See the full description on the dataset page: https://huggingface.co/datasets/codelion/dclm-baseline-100M."
codelion/fineweb-edu-100M,https://huggingface.co/datasets/codelion/fineweb-edu-100M,"['size_categories:100K<n<1M', 'format:parquet', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']","
	
		
		Sampling Methodology
	

This dataset was created using reservoir sampling, a statistically unbiased random sampling algorithm that guarantees each sample from the source dataset has an equal probability of being included. This ensures the 100M token sample is representative of the full dataset's characteristics.
Source Dataset: HuggingFaceFW/fineweb-edu
Sample Size: 100M tokens
Content: Curated educational web resources
Reservoir sampling enables rapid experimentation and ablation… See the full description on the dataset page: https://huggingface.co/datasets/codelion/fineweb-edu-100M."
codelion/dclm-baseline-1B,https://huggingface.co/datasets/codelion/dclm-baseline-1B,"['size_categories:100K<n<1M', 'format:parquet', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']","
	
		
		Sampling Methodology
	

This dataset was created using reservoir sampling, a statistically unbiased random sampling algorithm that guarantees each sample from the source dataset has an equal probability of being included. This ensures the 1B token sample is representative of the full dataset's characteristics.
Source Dataset: mlfoundations/dclm-baseline-1.0
Sample Size: 1B tokens
Content: Filtered, diverse web content
Reservoir sampling enables rapid experimentation and ablation… See the full description on the dataset page: https://huggingface.co/datasets/codelion/dclm-baseline-1B."
codelion/fineweb-edu-1B,https://huggingface.co/datasets/codelion/fineweb-edu-1B,"['size_categories:100K<n<1M', 'format:parquet', 'modality:text', 'library:datasets', 'library:dask', 'library:mlcroissant', 'library:polars', 'region:us']","
	
		
		Sampling Methodology
	

This dataset was created using reservoir sampling, a statistically unbiased random sampling algorithm that guarantees each sample from the source dataset has an equal probability of being included. This ensures the 1B token sample is representative of the full dataset's characteristics.
Source Dataset: HuggingFaceFW/fineweb-edu
Sample Size: 1B tokens
Content: Curated educational web resources
Reservoir sampling enables rapid experimentation and ablation studies… See the full description on the dataset page: https://huggingface.co/datasets/codelion/fineweb-edu-1B."
codelion/sutra-100M,https://huggingface.co/datasets/codelion/sutra-100M,"['task_categories:text-generation', 'language:en', 'license:apache-2.0', 'size_categories:10K<n<100K', 'format:json', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:polars', 'library:mlcroissant', 'region:us', 'pretraining', 'educational', 'pedagogical', 'synthetic', 'sutra', 'multi-domain']","
	
		
		Sutra 100M Pretraining Dataset
	

A high-quality synthetic pedagogical dataset designed for LLM pretraining, containing 70,435 educational entries totaling approximately 100 million tokens.

	
		
		Dataset Description
	

This dataset was generated using the Sutra framework, which creates structured educational content optimized for language model pretraining. Each entry is designed to maximize learning efficiency through:

Clear pedagogical structure: Content follows proven educational… See the full description on the dataset page: https://huggingface.co/datasets/codelion/sutra-100M."
codelion/Qwen3-0.6B-pts-thought-anchors,https://huggingface.co/datasets/codelion/Qwen3-0.6B-pts-thought-anchors,"['task_categories:other', 'language:en', 'size_categories:n<1K', 'format:json', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us', 'pts', 'thought-anchors', 'reasoning', 'llm-analysis', 'sentence-level-analysis', 'pivotal-token-search']","
	
		
		PTS Thought Anchors Dataset
	

A dataset of thought anchors - critical reasoning steps - identified using the Thought Anchors technique from the PTS tool.

	
		
		Details
	


Source: Generated using the PTS tool
Model: Qwen/Qwen3-0.6B
Tags: pts, thought-anchors, reasoning, llm-analysis


	
		
		Dataset Structure
	

This dataset contains thought anchors identified from reasoning traces. Each anchor represents a sentence that significantly impacts the success probability of the reasoning… See the full description on the dataset page: https://huggingface.co/datasets/codelion/Qwen3-0.6B-pts-thought-anchors."
codelion/DeepSeek-R1-Distill-Qwen-1.5B-pts-thought-anchors,https://huggingface.co/datasets/codelion/DeepSeek-R1-Distill-Qwen-1.5B-pts-thought-anchors,"['task_categories:other', 'language:en', 'size_categories:n<1K', 'format:json', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us', 'pts', 'thought-anchors', 'reasoning', 'llm-analysis', 'sentence-level-analysis', 'pivotal-token-search']","
	
		
		PTS Thought Anchors Dataset
	

A dataset of thought anchors - critical reasoning steps - identified using the Thought Anchors technique from the PTS tool.

	
		
		Details
	


Source: Generated using the PTS tool
Model: deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B
Tags: pts, thought-anchors, reasoning, llm-analysis


	
		
		Dataset Structure
	

This dataset contains thought anchors identified from reasoning traces. Each anchor represents a sentence that significantly impacts the success… See the full description on the dataset page: https://huggingface.co/datasets/codelion/DeepSeek-R1-Distill-Qwen-1.5B-pts-thought-anchors."
codelion/Qwen3-0.6B-icm-dpo-pairs,https://huggingface.co/datasets/codelion/Qwen3-0.6B-icm-dpo-pairs,"['license:apache-2.0', 'size_categories:n<1K', 'format:json', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us', 'icm', 'dpo']",
codelion/Qwen3-0.6B-magpie,https://huggingface.co/datasets/codelion/Qwen3-0.6B-magpie,"['size_categories:n<1K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
codelion/gemma-3-1b-it-magpie-reasoning,https://huggingface.co/datasets/codelion/gemma-3-1b-it-magpie-reasoning,"['size_categories:n<1K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
codelion/Qwen2.5-Coder-0.5B-Instruct-progressive-2M-context,https://huggingface.co/datasets/codelion/Qwen2.5-Coder-0.5B-Instruct-progressive-2M-context,"['size_categories:n<1K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
codelion/Qwen2.5-Coder-0.5B-Instruct-security-preference,https://huggingface.co/datasets/codelion/Qwen2.5-Coder-0.5B-Instruct-security-preference,"['size_categories:n<1K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
codelion/ifeval-high-quality-dpo,https://huggingface.co/datasets/codelion/ifeval-high-quality-dpo,"['size_categories:n<1K', 'format:parquet', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']",
codelion/finepdfs-10M,https://huggingface.co/datasets/codelion/finepdfs-10M,"['size_categories:1K<n<10K', 'format:parquet', 'modality:tabular', 'modality:text', 'library:datasets', 'library:pandas', 'library:mlcroissant', 'library:polars', 'region:us']","
	
		
		Sampling Methodology
	

This dataset was created using reservoir sampling, a statistically unbiased random sampling algorithm that guarantees each sample from the source dataset has an equal probability of being included. This ensures the 10M token sample is representative of the full dataset's characteristics.
Source Dataset: HuggingFaceFW/finepdfs
Sample Size: 10M tokens
Content: High-quality textbook-style pdfs
Reservoir sampling enables rapid experimentation and ablation studies… See the full description on the dataset page: https://huggingface.co/datasets/codelion/finepdfs-10M."
